alpha,beta,gamma,D,coherence,entropy
0.11539048051578638,0.10921937332364207,0.37061770003690125,0.7730014968574223,0.00010090421650486905,0.020915191341922035
0.08233558725054002,0.09242959309772805,0.5559399412667916,0.6752190390142752,9.67750314334708e-05,0.018280443318262434
0.06954266732965522,0.11837428825387578,0.7085856579498511,0.7580425491622591,0.00010118868911602033,0.02059386098093343
0.08051630699886285,0.11330095515041735,0.7788487006797817,0.6224476374577177,9.612449578156755e-05,0.018096178203344828
0.09826077469029794,0.08293890592274365,0.498081867965504,0.8890413278391212,9.813795909132564e-05,0.01907233476351108
0.1161139221407675,0.10121433336903576,0.5733065066755041,0.6973794222200583,0.0001067901218083776,0.023550563987863447
0.08344800595444404,0.09087712831780922,0.36727780554769446,0.8221109852173668,0.00010949499039228699,0.024533050847969168
0.08206121285009083,0.08516717469507244,0.6760007018007264,0.6186892170207619,9.718168504106828e-05,0.01857611419110925
0.11320583293295854,0.0921370174207037,0.65150681861962,0.6998154831058943,9.330557034020307e-05,0.016928722126311642
0.07912008497151513,0.11037685180509636,0.43462598296400423,0.617667752543163,9.894088851013008e-05,0.019939754210435836
0.10361889937796841,0.10414031036814315,0.7567257328925442,0.6882265939645176,9.679789193535332e-05,0.01842834232546732
0.07564291226111898,0.0995520264497049,0.7665957236701566,0.829169344506923,0.00010477586291053624,0.023602224326116895
0.11499601486838851,0.09290914902227361,0.8380765328628093,0.7178086859151487,9.826799499009167e-05,0.019548985440997996
0.11709358102585472,0.11536940542263031,0.5610913828340134,0.8664200614572558,0.00010104588302688538,0.0200417035756794
0.06813115663379363,0.11008856693611618,0.7170405391447858,0.9234375092146487,9.320018249891801e-05,0.016756829789436097
0.08720048425793267,0.09180304756957858,0.8852835782948527,0.8020249602628897,9.422116942367853e-05,0.017307129199976626
0.05019256204337743,0.11704403567691893,0.45999683400280655,0.8647611124166443,0.00010993286305009334,0.025097076500384632
0.09826558394150262,0.08975700842580768,0.5274731549849545,0.9589713490228301,9.739441528395215e-05,0.01844740597627497
0.08543835799825131,0.08929872745926705,0.3904168412788281,0.8515150372682119,0.00010894697813454865,0.02398966501927944
0.11684843825283825,0.11111731719562534,0.6262403802972203,0.8536732564706766,9.681250858324969e-05,0.017874958951307925
0.09717031121809055,0.10535841591226787,0.6361203381559721,0.6960642016323393,9.784887156313381e-05,0.018577436887169077
0.06462469923228148,0.11023737865364239,0.5602535631303757,0.8753199855214482,9.732199040802447e-05,0.018305955527131976
0.06038403870296628,0.08468188081741408,0.36715639015331747,0.9751362652484539,0.00010776722685339208,0.023539482785173777
0.05410755714210545,0.08306413747512252,0.5519108310506431,0.8872335722509683,0.00010829397205461652,0.02414931769150547
0.0637801315863732,0.10612263230808207,0.5782920112474247,0.7652485540514737,9.504169686352798e-05,0.017429981999898446
